subway20,Topic_26,rating_count,Topic_19,compound_score,rating,coord
109.0,0.0291279500052631,4922.0,0.0281399335333333,-0.1904719298245614,1.9719298245614032,"(25.7902955, -80.1320774)"
153.0,0.0354169053203821,2809.452229299363,0.050982226065605,-0.0189112101910828,2.5579617834394903,"(25.8099996, -80.1890981)"
46.0,0.029296378794186,5566.552325581395,0.046009209647093,0.1196105813953488,2.8104651162790697,"(28.3335081, -81.5137384)"
64.0,0.0257267958436619,1861.0,0.0449639114859154,0.1460340845070422,3.164788732394366,"(28.3999863, -81.4051029)"
67.0,0.0319727125857142,5467.206349206349,0.0369766955195767,0.0653290476190476,2.57989417989418,"(28.4238144, -81.4612421)"
70.0,0.0332055045591836,19671.673469387755,0.0188057786122448,0.4356014285714286,3.687755102040816,"(28.4503866, -81.4714142)"
69.0,0.0283810272599999,1617.6705882352942,0.0409724766005882,0.2223243529411764,3.4705882352941178,"(28.6553497, -81.3426916)"
50.0,0.0299928356440944,1460.0,0.0423740803401574,0.1573910236220472,3.1275590551181103,"(29.6762669, -98.6345801)"
53.0,0.0309682815928725,1406.0,0.0319071926382289,0.029651727861771,2.666306695464363,"(30.3291349, -97.6606295)"
46.0,0.0335589327974999,1240.0,0.0290367275962499,0.145266375,3.1925,"(30.4607176, -97.7928744)"
106.0,0.0322367940266666,2657.690909090909,0.0487918915072727,0.190340606060606,3.1436363636363636,"(32.7445961, -96.8122859)"
73.0,0.0283925568455882,1159.0,0.0376295644720588,0.0724254411764705,2.8176470588235296,"(32.7976607, -117.2494697)"
95.0,0.0263806094454545,550.0,0.0410216069036363,0.2235899999999999,3.598181818181818,"(32.8206541, -117.1780115)"
51.0,0.0362823280847058,957.0,0.0363384417635294,0.1610111764705882,3.2705882352941176,"(32.9580411, -97.3076518)"
49.0,0.0255080507808219,998.1455479452056,0.0403256982585616,0.2196385273972602,3.4657534246575343,"(33.0093179, -97.2229254)"
286.0,0.0359385007796257,2722.0,0.0379913355758835,0.0614022869022869,2.492723492723493,"(33.9312613, -118.2829548)"
142.0,0.0303531873780487,3380.2804878048782,0.0316263057999999,0.1396186585365853,3.1926829268292685,"(34.0122192, -118.4945396)"
288.0,0.0415735885636363,2614.0,0.0451893413072727,0.1254274545454545,3.0745454545454547,"(34.0352699, -118.2382063)"
230.0,0.3240104856666666,2251.0,0.001093819,0.1463666666666666,3.6666666666666665,"(34.0565932, -118.4259996)"
230.0,0.0302726379549707,1794.561403508772,0.0459730879865497,0.1708974853801169,3.3771929824561404,"(34.1525074, -118.3679036)"
142.0,0.0345142734388349,2365.0,0.0405510396941747,0.087085922330097,2.978640776699029,"(36.0902437, -115.1758223)"
128.0,0.0351676650787499,1562.0,0.0386496687425,0.169844875,3.33,"(37.3854949, -121.9954211)"
164.0,0.0316661528837209,595.0,0.0391226576710963,0.2588617940199335,3.697674418604651,"(38.8128231, -77.1850548)"
201.0,0.0006944443333333,1542.0,0.0006944443333333,0.4441333333333333,2.6666666666666665,"(38.8969797, -77.0289132)"
202.0,0.0277294400544117,1269.0,0.0473099469735294,0.2085141176470588,3.598529411764706,"(38.9054561, -77.0442355)"
31.0,0.0325583751463414,933.0,0.0385147360593849,0.2476798515376458,3.615058324496288,"(39.8520594, -74.9810994)"
353.0,0.000643098,5186.0,0.000643098,0.447,2.3333333333333335,"(40.7093746, -74.0099791)"
361.0,0.0428653363444444,3196.0,0.0372992525333333,0.1632788888888889,3.1259259259259258,"(40.7185138, -74.0011677)"
364.0,0.0009133943333333,2348.0,0.0009133943333333,0.7764333333333333,3.3333333333333335,"(40.7188385, -73.9882797)"
337.0,0.0398803274631578,2193.0,0.0404239485999999,0.1469970175438596,3.2859649122807015,"(40.7274006, -73.8124604)"
370.0,0.0426788084052631,1670.0,0.034964088341228,0.1385478070175438,3.312280701754386,"(40.7291264, -73.9932643)"
380.0,0.0348601995999999,2052.0,0.0434929808315789,0.2518615789473684,3.692105263157895,"(40.7505058, -73.990583)"
381.0,0.0659166418999999,263.0,0.0364042123666666,-0.0737333333333333,1.9166666666666667,"(40.7505058, -73.990583)"
380.0,0.033552761275862,3902.0,0.0518257833448275,0.0920963218390804,2.9597701149425286,"(40.7505058, -73.990583)"
51.0,0.0284611686966292,3243.0,0.0323720394325842,0.0417743820224719,2.5258426966292133,"(40.7590573, -111.8973832)"
251.0,0.0321594700542635,1564.1472868217054,0.0320479173007751,0.0743203100775193,2.9930232558139536,"(40.7719101, -74.1614754)"
6.0,0.0380192674688715,1028.0,0.0369539612577821,0.2068188715953307,3.463035019455253,"(40.9220806, -75.3999187)"
249.0,0.0370246191358189,1454.0,0.0433748616924101,0.1797560585885486,3.362183754993342,"(41.8796564, -87.7779131)"
1.0,0.0340272731774193,1306.016129032258,0.0480786814887096,0.177485,3.2693548387096776,"(44.9814099, -73.4598199)"
