subway5,subway20,Topic_26,rating_count,compound_score,coord,rating
8.0,109.0,0.02912795000526317,4922.0,-0.19047192982456135,"(25.7902955, -80.13207740000001)",1.9719298245614034
21.0,153.0,0.035416905320382726,2809.452229299363,-0.01891121019108294,"(25.8099996, -80.1890981)",2.5579617834394903
5.0,46.0,0.029296378794186388,5566.552325581395,0.11961058139534896,"(28.3335081, -81.51373840000001)",2.8104651162790697
5.0,64.0,0.025726795843662005,1861.0,0.14603408450704203,"(28.399986300000002, -81.4051029)",3.164788732394366
7.0,67.0,0.03197271258571469,5467.206349206349,0.06532904761904766,"(28.423814399999998, -81.46124209999999)",2.57989417989418
9.0,70.0,0.03320550455918368,19671.673469387755,0.4356014285714286,"(28.450386600000005, -81.4714142)",3.6877551020408164
4.0,69.0,0.02838102726000045,1617.6705882352942,0.22232435294118036,"(28.6553497, -81.3426916)",3.4705882352941178
1.0,50.0,0.029992835644094457,1460.0,0.15739102362204693,"(29.676266899999998, -98.6345801)",3.1275590551181103
3.0,53.0,0.030968281592872852,1406.0,0.02965172786177091,"(30.3291349, -97.6606295)",2.666306695464363
5.0,46.0,0.033558932797500426,1240.0,0.14526637499999984,"(30.460717600000002, -97.7928744)",3.1925
14.0,106.0,0.032236794026667195,2657.690909090909,0.19034060606060685,"(32.7445961, -96.8122859)",3.1436363636363636
1.0,73.0,0.028392556845588335,1159.0,0.07242544117647054,"(32.7976607, -117.24946969999999)",2.8176470588235296
12.0,95.0,0.026380609445454464,550.0,0.22358999999999976,"(32.820654100000006, -117.1780115)",3.598181818181818
4.0,51.0,0.03628232808470657,957.0,0.16101117647058846,"(32.9580411, -97.30765179999999)",3.2705882352941176
3.0,49.0,0.0255080507808225,998.1455479452055,0.21963852739726153,"(33.0093179, -97.22292540000001)",3.4657534246575343
14.0,286.0,0.03593850077962571,2722.0,0.06140228690228691,"(33.931261299999996, -118.2829548)",2.492723492723493
16.0,142.0,0.030353187378048783,3380.2804878048782,0.1396186585365853,"(34.012219200000004, -118.4945396)",3.1926829268292685
36.0,288.0,0.041573588563636375,2614.0,0.12542745454545437,"(34.035269899999996, -118.2382063)",3.0745454545454547
21.0,230.0,0.3240104856666666,2251.0,0.14636666666666667,"(34.0565932, -118.4259996)",3.6666666666666665
13.0,230.0,0.030272637954971364,1794.561403508772,0.17089748538011798,"(34.1525074, -118.36790359999999)",3.3771929824561404
32.0,142.0,0.03451427343883502,2365.0,0.08708592233009692,"(36.0902437, -115.1758223)",2.978640776699029
14.0,128.0,0.0351676650787502,1562.0,0.16984487499999976,"(37.3854949, -121.99542109999999)",3.33
11.0,164.0,0.03166615288372112,595.0,0.25886179401993364,"(38.8128231, -77.18505479999999)",3.697674418604651
54.0,201.0,0.0006944443333333333,1542.0,0.44413333333333344,"(38.8969797, -77.0289132)",2.6666666666666665
55.0,202.0,0.027729440054411997,1269.0,0.2085141176470587,"(38.9054561, -77.0442355)",3.598529411764706
2.0,31.0,0.032558375146342175,933.0,0.24767985153764716,"(39.8520594, -74.9810994)",3.6150583244962884
48.0,353.0,0.000643098,5186.0,0.447,"(40.709374600000004, -74.0099791)",2.3333333333333335
67.0,361.0,0.04286533634444443,3196.0,0.1632788888888889,"(40.7185138, -74.0011677)",3.1259259259259258
73.0,364.0,0.0009133943333333334,2348.0,0.7764333333333333,"(40.718838500000004, -73.9882797)",3.3333333333333335
35.0,337.0,0.03988032746315856,2193.0,0.14699701754385974,"(40.7274006, -73.8124604)",3.2859649122807015
80.0,370.0,0.042678808405263814,1670.0,0.13854780701754416,"(40.7291264, -73.99326429999999)",3.312280701754386
85.0,380.0,0.03486019960000051,2052.0,0.25186157894737055,"(40.7505058, -73.990583)",3.692105263157895
84.0,381.0,0.06591664189999999,263.0,-0.07373333333333335,"(40.750831, -73.98909609999998)",1.9166666666666667
85.0,380.0,0.03355276127586208,3902.0,0.0920963218390804,"(40.7525294, -73.9928762)",2.9597701149425286
10.0,51.0,0.02846116869662929,3243.0,0.041774382022471857,"(40.759057299999995, -111.8973832)",2.5258426966292133
20.0,251.0,0.03215947005426414,1564.1472868217054,0.07432031007751928,"(40.7719101, -74.1614754)",2.9930232558139536
0.0,6.0,0.038019267468872374,1028.0,0.20681887159533185,"(40.9220806, -75.3999187)",3.463035019455253
18.0,249.0,0.037024619135819094,1454.0,0.17975605858854843,"(41.8796564, -87.77791309999999)",3.362183754993342
0.0,1.0,0.03402727317741937,1306.016129032258,0.17748499999999967,"(44.981409899999996, -73.4598199)",3.2693548387096776
