subway20,Topic_26,rating_count,Topic_19,compound_score,coord,rating
109.0,0.029127950005263147,4922.0,0.028139933533333324,-0.1904719298245614,"(25.7902955, -80.13207740000001)",1.9719298245614034
153.0,0.03541690532038216,2809.452229299363,0.05098222606560509,-0.0189112101910828,"(25.8099996, -80.1890981)",2.5579617834394903
46.0,0.029296378794186038,5566.552325581395,0.04600920964709301,0.11961058139534883,"(28.3335081, -81.51373840000001)",2.8104651162790697
64.0,0.025726795843661967,1861.0,0.04496391148591549,0.14603408450704225,"(28.399986300000002, -81.4051029)",3.164788732394366
67.0,0.031972712585714276,5467.206349206349,0.03697669551957671,0.06532904761904762,"(28.423814399999998, -81.46124209999999)",2.57989417989418
70.0,0.03320550455918367,19671.673469387755,0.01880577861224489,0.4356014285714286,"(28.450386600000005, -81.4714142)",3.6877551020408164
69.0,0.028381027259999997,1617.6705882352942,0.04097247660058823,0.22232435294117645,"(28.6553497, -81.3426916)",3.4705882352941178
50.0,0.029992835644094485,1460.0,0.04237408034015747,0.15739102362204727,"(29.676266899999998, -98.6345801)",3.1275590551181103
53.0,0.030968281592872567,1406.0,0.031907192638228936,0.029651727861771057,"(30.3291349, -97.6606295)",2.666306695464363
46.0,0.033558932797499996,1240.0,0.029036727596249996,0.145266375,"(30.460717600000002, -97.7928744)",3.1925
106.0,0.03223679402666666,2657.690909090909,0.04879189150727272,0.19034060606060607,"(32.7445961, -96.8122859)",3.1436363636363636
73.0,0.02839255684558823,1159.0,0.03762956447205882,0.07242544117647058,"(32.7976607, -117.24946969999999)",2.8176470588235296
95.0,0.026380609445454544,550.0,0.041021606903636355,0.22358999999999998,"(32.820654100000006, -117.1780115)",3.598181818181818
51.0,0.03628232808470588,957.0,0.036338441763529405,0.16101117647058824,"(32.9580411, -97.30765179999999)",3.2705882352941176
49.0,0.025508050780821915,998.1455479452055,0.04032569825856164,0.21963852739726028,"(33.0093179, -97.22292540000001)",3.4657534246575343
286.0,0.03593850077962577,2722.0,0.03799133557588357,0.0614022869022869,"(33.931261299999996, -118.2829548)",2.492723492723493
142.0,0.03035318737804877,3380.2804878048782,0.03162630579999999,0.13961865853658537,"(34.012219200000004, -118.4945396)",3.1926829268292685
288.0,0.041573588563636354,2614.0,0.04518934130727272,0.12542745454545456,"(34.035269899999996, -118.2382063)",3.0745454545454547
230.0,0.3240104856666666,2251.0,0.001093819,0.14636666666666667,"(34.0565932, -118.4259996)",3.6666666666666665
230.0,0.030272637954970757,1794.561403508772,0.045973087986549706,0.17089748538011695,"(34.1525074, -118.36790359999999)",3.3771929824561404
142.0,0.034514273438834946,2365.0,0.040551039694174756,0.08708592233009708,"(36.0902437, -115.1758223)",2.978640776699029
128.0,0.03516766507874999,1562.0,0.0386496687425,0.169844875,"(37.3854949, -121.99542109999999)",3.33
164.0,0.031666152883720926,595.0,0.03912265767109634,0.25886179401993353,"(38.8128231, -77.18505479999999)",3.697674418604651
201.0,0.0006944443333333,1542.0,0.0006944443333333,0.4441333333333333,"(38.8969797, -77.0289132)",2.6666666666666665
202.0,0.02772944005441176,1269.0,0.047309946973529415,0.20851411764705882,"(38.9054561, -77.0442355)",3.598529411764706
31.0,0.03255837514634146,933.0,0.03851473605938494,0.2476798515376458,"(39.8520594, -74.9810994)",3.6150583244962884
353.0,0.000643098,5186.0,0.000643098,0.447,"(40.709374600000004, -74.0099791)",2.3333333333333335
361.0,0.042865336344444435,3196.0,0.03729925253333333,0.1632788888888889,"(40.7185138, -74.0011677)",3.1259259259259258
364.0,0.0009133943333333,2348.0,0.0009133943333333,0.7764333333333333,"(40.718838500000004, -73.9882797)",3.3333333333333335
337.0,0.03988032746315789,2193.0,0.040423948599999995,0.14699701754385963,"(40.7274006, -73.8124604)",3.2859649122807015
370.0,0.042678808405263155,1670.0,0.03496408834122807,0.13854780701754385,"(40.7291264, -73.99326429999999)",3.312280701754386
380.0,0.034860199599999996,2052.0,0.043492980831578945,0.25186157894736844,"(40.7505058, -73.990583)",3.692105263157895
381.0,0.06591664189999999,263.0,0.03640421236666666,-0.07373333333333335,"(40.750831, -73.98909609999998)",1.9166666666666667
380.0,0.03355276127586206,3902.0,0.051825783344827576,0.09209632183908047,"(40.7525294, -73.9928762)",2.9597701149425286
51.0,0.0284611686966292,3243.0,0.03237203943258426,0.04177438202247191,"(40.759057299999995, -111.8973832)",2.5258426966292133
251.0,0.03215947005426356,1564.1472868217054,0.032047917300775185,0.07432031007751938,"(40.7719101, -74.1614754)",2.9930232558139536
6.0,0.03801926746887159,1028.0,0.0369539612577821,0.20681887159533074,"(40.9220806, -75.3999187)",3.463035019455253
249.0,0.037024619135818906,1454.0,0.043374861692410116,0.17975605858854862,"(41.8796564, -87.77791309999999)",3.362183754993342
1.0,0.034027273177419354,1306.016129032258,0.048078681488709675,0.177485,"(44.981409899999996, -73.4598199)",3.2693548387096776
